Page_Id,Title,Root_Template,Meta_Keywords,Meta_Description,Identifier,Content_Heading,Content,Creation_Time,Update_Time,Is_Active,Sort_Order,Layout_Update_XML,Custom_Theme,Custom_Root_Template,Custom_Layout_Update_XML,Custom_Theme_From,Custom_Theme_To,Stores
1,"404 Not Found 1",one_column,"Page keywords","Page description",no-route1,,"<p>{{widget type=""ves_blockbuilder/widget_builder"" block_id=""32"" show_title=""false""}}</p>","2014-09-18 17:14:00","2015-06-02 16:50:44",1,0,,,,,,,0
3,"About Us",one_column,,,aboutus,,"<div class=""page-title"">
<h1>About Magento Store</h1>
</div>
<div class=""col3-set"">
<div class=""col-1"">
<p style=""line-height: 1.2em;""><small>Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede.</small></p>
<p style=""color: #888; font: 1.2em/1.4em georgia, serif;"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede. Cras vel libero id lectus rhoncus porta.</p>
</div>
<div class=""col-2"">
<p><strong style=""color: #de036f;"">Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit.</strong></p>
<p>Vivamus tortor nisl, lobortis in, faucibus et, tempus at, dui. Nunc risus. Proin scelerisque augue. Nam ullamcorper. Phasellus id massa. Pellentesque nisl. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Nunc augue. Aenean sed justo non leo vehicula laoreet. Praesent ipsum libero, auctor ac, tempus nec, tempor nec, justo.</p>
<p>Maecenas ullamcorper, odio vel tempus egestas, dui orci faucibus orci, sit amet aliquet lectus dolor et quam. Pellentesque consequat luctus purus. Nunc et risus. Etiam a nibh. Phasellus dignissim metus eget nisi. Vestibulum sapien dolor, aliquet nec, porta ac, malesuada a, libero. Praesent feugiat purus eget est. Nulla facilisi. Vestibulum tincidunt sapien eu velit. Mauris purus. Maecenas eget mauris eu orci accumsan feugiat. Pellentesque eget velit. Nunc tincidunt.</p>
</div>
<div class=""col-3"">
<p>Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Morbi luctus. Duis lobortis. Nulla nec velit. Mauris pulvinar erat non massa. Suspendisse tortor turpis, porta nec, tempus vitae, iaculis semper, pede. Cras vel libero id lectus rhoncus porta. Suspendisse convallis felis ac enim. Vivamus tortor nisl, lobortis in, faucibus et, tempus at, dui. Nunc risus. Proin scelerisque augue. Nam ullamcorper</p>
<p><strong style=""color: #de036f;"">Maecenas ullamcorper, odio vel tempus egestas, dui orci faucibus orci, sit amet aliquet lectus dolor et quam. Pellentesque consequat luctus purus.</strong></p>
<p>Nunc et risus. Etiam a nibh. Phasellus dignissim metus eget nisi.</p>
<div class=""divider""> </div>
<p>To all of you, from all of us at Magento Store - Thank you and Happy eCommerce!</p>
<p style=""line-height: 1.2em;""><strong style=""font: italic 2em Georgia, serif;"">John Doe</strong><br /> <small>Some important guy</small></p>
</div>
</div>","2014-09-18 17:14:01","2015-03-01 15:45:39",1,0,,,,,,,0
5,"Enable Cookies",one_column,,,enable-cookies,,"<div class=""std"">
    <ul class=""messages"">
        <li class=""notice-msg"">
            <ul>
                <li>Please enable cookies in your web browser to continue.</li>
            </ul>
        </li>
    </ul>
    <div class=""page-title"">
        <h1><a name=""top""></a>What are Cookies?</h1>
    </div>
    <p>Cookies are short pieces of data that are sent to your computer when you visit a website.
    On later visits, this data is then returned to that website. Cookies allow us to recognize you automatically
    whenever you visit our site so that we can personalize your experience and provide you with better service.
    We also use cookies (and similar browser data, such as Flash cookies) for fraud prevention and other purposes.
     If your web browser is set to refuse cookies from our website, you will not be able to complete a purchase
     or take advantage of certain features of our website, such as storing items in your Shopping Cart or
     receiving personalized recommendations. As a result, we strongly encourage you to configure your web
     browser to accept cookies from our website.</p>
    <h2 class=""subtitle"">Enabling Cookies</h2>
    <ul class=""disc"">
        <li><a href=""#ie7"">Internet Explorer 7.x</a></li>
        <li><a href=""#ie6"">Internet Explorer 6.x</a></li>
        <li><a href=""#firefox"">Mozilla/Firefox</a></li>
        <li><a href=""#opera"">Opera 7.x</a></li>
    </ul>
    <h3><a name=""ie7""></a>Internet Explorer 7.x</h3>
    <ol>
        <li>
            <p>Start Internet Explorer</p>
        </li>
        <li>
            <p>Under the <strong>Tools</strong> menu, click <strong>Internet Options</strong></p>
            <p><img src=""{{skin url=""images/cookies/ie7-1.gif""}}"" alt="""" /></p>
        </li>
        <li>
            <p>Click the <strong>Privacy</strong> tab</p>
            <p><img src=""{{skin url=""images/cookies/ie7-2.gif""}}"" alt="""" /></p>
        </li>
        <li>
            <p>Click the <strong>Advanced</strong> button</p>
            <p><img src=""{{skin url=""images/cookies/ie7-3.gif""}}"" alt="""" /></p>
        </li>
        <li>
            <p>Put a check mark in the box for <strong>Override Automatic Cookie Handling</strong>,
            put another check mark in the <strong>Always accept session cookies </strong>box</p>
            <p><img src=""{{skin url=""images/cookies/ie7-4.gif""}}"" alt="""" /></p>
        </li>
        <li>
            <p>Click <strong>OK</strong></p>
            <p><img src=""{{skin url=""images/cookies/ie7-5.gif""}}"" alt="""" /></p>
        </li>
        <li>
            <p>Click <strong>OK</strong></p>
            <p><img src=""{{skin url=""images/cookies/ie7-6.gif""}}"" alt="""" /></p>
        </li>
        <li>
            <p>Restart Internet Explore</p>
        </li>
    </ol>
    <p class=""a-top""><a href=""#top"">Back to Top</a></p>
    <h3><a name=""ie6""></a>Internet Explorer 6.x</h3>
    <ol>
        <li>
            <p>Select <strong>Internet Options</strong> from the Tools menu</p>
            <p><img src=""{{skin url=""images/cookies/ie6-1.gif""}}"" alt="""" /></p>
        </li>
        <li>
            <p>Click on the <strong>Privacy</strong> tab</p>
        </li>
        <li>
            <p>Click the <strong>Default</strong> button (or manually slide the bar down to <strong>Medium</strong>)
            under <strong>Settings</strong>. Click <strong>OK</strong></p>
            <p><img src=""{{skin url=""images/cookies/ie6-2.gif""}}"" alt="""" /></p>
        </li>
    </ol>
    <p class=""a-top""><a href=""#top"">Back to Top</a></p>
    <h3><a name=""firefox""></a>Mozilla/Firefox</h3>
    <ol>
        <li>
            <p>Click on the <strong>Tools</strong>-menu in Mozilla</p>
        </li>
        <li>
            <p>Click on the <strong>Options...</strong> item in the menu - a new window open</p>
        </li>
        <li>
            <p>Click on the <strong>Privacy</strong> selection in the left part of the window. (See image below)</p>
            <p><img src=""{{skin url=""images/cookies/firefox.png""}}"" alt="""" /></p>
        </li>
        <li>
            <p>Expand the <strong>Cookies</strong> section</p>
        </li>
        <li>
            <p>Check the <strong>Enable cookies</strong> and <strong>Accept cookies normally</strong> checkboxes</p>
        </li>
        <li>
            <p>Save changes by clicking <strong>Ok</strong>.</p>
        </li>
    </ol>
    <p class=""a-top""><a href=""#top"">Back to Top</a></p>
    <h3><a name=""opera""></a>Opera 7.x</h3>
    <ol>
        <li>
            <p>Click on the <strong>Tools</strong> menu in Opera</p>
        </li>
        <li>
            <p>Click on the <strong>Preferences...</strong> item in the menu - a new window open</p>
        </li>
        <li>
            <p>Click on the <strong>Privacy</strong> selection near the bottom left of the window. (See image below)</p>
            <p><img src=""{{skin url=""images/cookies/opera.png""}}"" alt="""" /></p>
        </li>
        <li>
            <p>The <strong>Enable cookies</strong> checkbox must be checked, and <strong>Accept all cookies</strong>
            should be selected in the ""<strong>Normal cookies</strong>"" drop-down</p>
        </li>
        <li>
            <p>Save changes by clicking <strong>Ok</strong></p>
        </li>
    </ol>
    <p class=""a-top""><a href=""#top"">Back to Top</a></p>
</div>
","2014-09-18 17:14:01","2014-09-18 17:14:01",1,0,,,,,,,0
18,"About us 1",one_column,,,aboutus1,,"<p>{{widget type=""ves_blockbuilder/widget_page"" show_title=""true"" block_id=""8""}}</p>","2015-03-01 15:55:07","2015-03-01 15:55:07",1,0,,,,,,,0
19,"About us 2",one_column,,,aboutus2,,"<p>{{widget type=""ves_blockbuilder/widget_page"" show_title=""true"" block_id=""7""}}</p>","2015-03-01 15:55:38","2015-03-01 15:55:38",1,0,,,,,,,0
20,"About us 3",one_column,,,aboutus3,,"<p>{{widget type=""ves_blockbuilder/widget_page"" show_title=""true"" block_id=""6""}}</p>","2015-03-01 15:56:13","2015-03-01 15:56:13",1,0,,,,,,,0
21,"About us 4",one_column,,,aboutus4,,"<p>{{widget type=""ves_blockbuilder/widget_page"" show_title=""true"" block_id=""5""}}</p>","2015-03-01 15:56:42","2015-03-01 15:56:42",1,0,,,,,,,0
22,"About us 5",one_column,,,aboutus5,,"<p>{{widget type=""ves_blockbuilder/widget_page"" show_title=""false"" block_id=""4""}}</p>","2015-03-01 15:57:16","2015-03-01 15:57:16",1,0,,,,,,,0
24,"404 Not Found 2",one_column,,,no-rotue2,,"<div class=""cms-page-error"">
<img src=""{{media url=""wysiwyg/fashion/404-bg.png""}}"" alt="""" />
<h2>Oops, This page couldn't be found!</h2>
<a class=""button back-page"" onclick=""history.go(-1); return false;"" href=""#""><span> <i class=""fa fa-long-arrow-left""> </i> PREVIOUS PAGE </span> </a> <a class=""button back-home"" href=""{{store url=""""}}""><span> <i class=""fa fa-home""> </i>Go to back home </span> </a></div>","2015-03-01 19:20:33","2015-08-06 19:52:24",1,0,,ves_bigmart/default,one_column,,,,0
25,"404 Not Found 3",one_column,,,no-rotue3,,"<div class=""cms-page-error style2 row"">
<div class=""col-lg-6 col-md-6 col-sm-6 col-xs-12 number"">
<h1>404</h1>
<h2> </h2>
</div>
<div class=""content-page col-lg-6 col-md-6 col-sm-6 col-xs-12"">
<h2>Sorry, the page you’re looking <br />for cannot be found!</h2>
<h3>Thanks for noticing - we’re going to fix it up and have things back to normal soon</h3>
<div class=""box-search"">{{block type=""core/template"" name=""top.search"" as=""topSearch"" template=""catalogsearch/form.mini.phtml""/}}</div>
<a class=""back-page"" onclick=""history.go(-1); return false;"" href=""#""><span> Go Back? </span> </a> <a class="" back-home"" href=""{{store url=""""}}""><span> homepage </span> </a></div>
</div>","2015-03-01 19:21:40","2015-03-01 19:21:40",1,0,,,,,,,0
